title,year,engine_size,fuel_type,milage,price
2013 BMW 320d M SPORT,2013,2.0,Diesel,125000,
BMW 320D MSPORT AUTO,2012,2.0,Diesel,140000,
BMW 3 Series Automatic  Full Leather Interior  Bl,2015,2.0,Diesel,112332,18995
BMW 320d INDIVIDUAL NEW NCT 21/MINT,2006,2.0,Diesel,147745,
BMW 3 Series Saloon,,,,0,
142 BMW 3-Series Diesel *Irish Car*,2014,2.0,Diesel,139800,10950
320D Sport 2.0 S/S 184BHP - FSH - PARKING SENSORS,2012,2.0,Diesel,97739,7795
320D ED PLUS AUTO M-PERFORMANCE KIT - FSH,2016,2.0,Diesel,89872,
BMW 3-Series 2016 320 Msport Auto Irish Car,2016,2.0,Diesel,43000,23950
BMW 3 Series Hatchback,,,,0,
LOW MILEAGE1 OWNER LEATHER/WALNUT WOOD INTERIOR,2017,2.0,Hybrid,28234,22850
LOW MILEAGE1 OWNER LEATHER/WALNUT WOOD INTERIOR,2017,2.0,Electric,28234,22850
BMW 04  ***NEW NCT O3. 2021***,2004,1.8,Petrol,186000,
2008 BMW E92 320i Coupe. Tax and NCT,2008,2.0,Petrol,120,3500
BMW 3 Series Estate,,,,0,
2015 BMW 320D EFFICIENT DYNAMICS *NAVPARK SENSORS,2015,2.0,Diesel,124000,
2016 BMW 320D SPORT *LED DRLNAVPARK SENSORS*,2016,2.0,Diesel,98000,9995
2015 BMW 320D M-PERFORMANCE KIT *PARK SENSORSNAV*,2015,2.0,Diesel,107000,9450
2015 BMW 320D  PLUS MPERFORMANCE KIT *LEATHERNAV*,2015,2.0,Diesel,105000,9450
BMW 3-Series 2016 SE 1 Owner Low Mileage,2016,2.0,Diesel,29000,18950
BMW 3 Series 320 SE 320d 190 Auto Start/stop,2019,2.0,Diesel,12130,37950
2015 151 BMW 3-Series 316D Automatic / Leather,2015,2.0,Diesel,101510,17950
2014 BMW 335d !,2014,3.0,Diesel,118000,24995
320 D SE M Spec,2008,2.0,Diesel,119924,
2009 BMW 318d,2009,2.0,Diesel,171000,2650
2003 BMW 3 Series,2003,1.8,Petrol,123633,
BMW 3-Series 2015 2.0 Diesel SE Lux,2015,2.0,Diesel,89000,16990
